x1,y
-1.61986923,-0.51149404
-1.46369028,-0.465401441
-1.29286385,-0.414562732
-1.10667014,-0.359104604
-0.90468597,-0.299191862
-0.68692434,-0.235027298
-0.45395187,-0.166851074
-0.20699437,-9.49E-02
0.0520172,-1.96E-02
0.32042372,5.88E-02
0.5948714,0.13993609
0.87139541,0.223368078
1.14554083,0.308685362
1.41253448,0.395445675
1.66747403,0.483190924
1.90554798,0.571450949
2.12226462,0.659747064
2.31366086,0.747595489
2.47649908,0.834510088
2.60844946,0.920005322
2.7081852,1.003598213
2.77547431,1.084810734
2.8111763,1.163170457
2.81720567,1.238212585
2.79641676,1.30948019
2.75246,1.37652576
2.68957448,1.438911557
2.61235881,1.496210933
2.52552319,1.548009157
2.43363833,1.59390533
2.3408916,1.633514166
2.25088239,1.666468382
2.16643381,1.692421556
2.08947563,1.711050987
2.02097201,1.722061515
1.96091127,1.725189447
1.90835071,1.720206261
1.86151803,1.70692265
1.8179723,1.685192347
1.77479303,1.654915452
1.72877657,1.616041899
1.67668188,1.568573594
1.6154474,1.512566447
1.54238546,1.44813168
1.45537591,1.375436187
1.35297322,1.294701934
1.23451936,1.206205487
1.10015738,1.110275865
0.95081121,1.00729239
0.78812504,0.897682428
0.61433941,0.781917691
0.43213478,0.660511553
0.24446562,0.534015417
0.05436635,0.403015286
-0.13523388,0.268128663
-0.32168451,0.130001202
-0.50275397,-1.07E-02
-0.67674381,-0.153270692
-0.8425498,-0.297009438
-0.99968439,-0.44118315
-1.14825034,-0.585048199
-1.28886127,-0.727849603
-1.42253172,-0.868823707
-1.55053294,-1.007201433
-1.67423344,-1.142211556
-1.79492664,-1.273084402
-1.91366577,-1.399056315
-2.03111362,-1.519373655
-2.14742517,-1.633298397
-2.26216912,-1.740112901
-2.37428164,-1.83912611
-2.48207903,-1.929679036
-2.5833137,-2.011150837
-2.67528391,-2.082964659
-2.75495195,-2.144593239
-2.81914115,-2.195564985
-2.86470628,-2.235468388
-2.88874006,-2.26395607
-2.8887527,-2.280749083
-2.86285782,-2.285639048
-2.8099072,-2.278490305
-2.72958946,-2.259240866
-2.62250781,-2.227902174
-2.49016213,-2.184558392
-2.33492088,-2.129364491
-2.15992737,-2.062543392
-1.96895349,-1.984383941
-1.76623678,-1.895235896
-1.55627215,-1.795506716
-1.34360158,-1.685657501
